N_50_100,SoH_50_100
6.09,100.01
244.32,95.19
493.17,92.87
738.39,92.51
1007.32,91.49
1238.52,90.89
1512.54,89.86
1759.16,88.87
1985.19,87.75
2245.51,86.8
2498.13,85.76
2738.79,85.19
2988.27,84.39
3249.86,83.73
3503.65,83.03
3732.04,82.4
4013.45,82.72
4253.92,82.04
4506.69,81.42
4753.53,81.65
5007.7,80.69
5269.98,80.33
5485.85,80
