N_25_75,SoH_25_75
6.09,100.01
247.97,96.88
463,96.27
744.48,94.19
977.08,93.22
1230.92,91.88
1491.07,91.85
1743.36,91.84
1997.28,91.81
2247.95,91.17
2494.06,90.51
2750.72,90.47
2988.33,89.84
3238.65,89.49
3513.23,89.4
3748.5,86.84
4018.97,88.78
4230.78,88.47
4491.01,88.14
4762.79,88.11
5004.67,87.79
5226.39,87.47
