N_65_75,SoH_65_75
12.95,100
391.25,98.31
768.34,97.28
1198.27,97.26
1584.98,96.29
1972.17,95.92
2374.98,95.54
2800.67,95.2
3204.95,94.9
3595.35,94.23
3995.72,93.55
4401.63,93.83
4802.03,93.28
5207.82,96.22
5600.75,92.91
6012.29,92.87
6403.39,92.54
6780.92,92.22
7209.77,92.21
7608.14,92.2
8000.23,91.87
8393.25,91.23
