N_40_100,SoH_40_100
6.09,100.01
245.23,94.93
491.73,93.22
731.49,92.24
998.67,91.25
1242.05,90.17
1482.3,89.16
1735.87,88.17
1978.3,87.57
2246.16,86.09
2483.89,86.42
2738.79,85.14
3005.95,84.07
3245.76,83.39
3499.33,83.08
3766.5,82.09
3994.01,81.66
4236.55,81.03
4502.4,80.35
4741.76,79.96
4986.55,79.33
