N_25_85,SoH_25_85
12.95,100.01
238.66,96.82
494.85,94.55
738.54,93.54
998.98,93.27
1238.71,92.15
1492.38,91.16
1752.56,90.53
1996.92,90.43
2228.37,89.51
2493.81,88.8
2737.98,88.13
2991.19,87.47
3245.11,87.1
3489.35,86.79
3746.64,86.72
3992.49,86.11
4264.27,85.75
4495.02,85.12
4743.09,84.41
4997.63,84.05
5251.05,83.38
