N_25_100,SoH_25_100
6.09,100.01
187.72,95.92
370.09,93.2
578.05,92.26
776.43,91.14
983.53,90.14
1190.24,89.48
1376.54,88.78
1591.16,87.78
1789.71,87.12
1984.67,86.08
2197.87,85.07
2384.47,84.39
2590.82,83.73
2797.87,83.03
3007.52,82.4
3201.77,82.36
3388.41,81.34
3594.01,80.35
3801.59,79.64
3991.6,78.99
4199.18,78.29
4383.85,77.63
